id,hole,index,par,shots
67,11,14,3,t103.g22-6x2
67,12,12,3,t170.f30-6.g18-12x4
67,13,10,3,t186.g26-9x2
67,14,2,4,t271.r30-4.r7-12.g7-2x2
67,15,6,4,t252.g12-9x2
67,16,18,3,t107.g21-11x3
67,17,8,3,t161.r4-1.g6-6
67,18,16,3,t145.r20-3.g9-12x3
68,1,18,4,t290.r230.f45-6.g18-3x2
68,2,8,4,t294.f88.r7-12.g6-1x3
68,3,6,3,t157.r8-10.f3-6.g5-1x2
68,4,4,5,t476.f152.r10-8
68,5,2,4,t390.f102.r10-11.r12-12.g2-12
68,6,16,3,t156.g7-3x2
68,7,14,4,t282.f52.g7-9
68,8,12,4,t263.r50l.g30-6x3
68,9,10,3,t170.g30-2x3
68,10,11,4,t280x2.r130r.g20-2x2
68,11,17,3,t118.s30-5.g13-3x2
68,12,1,4,t263.f13-6.g18-12x2
68,13,3,5,t471x3.r240r.r80r.r10-4.g5-6
68,14,9,5,t455.r200l.f80.g36-6x3
68,15,13,4,t270x3.r116r.g6-3x2
68,16,15,3,t100.g18-5x2
68,17,7,4,t313.r50l.r6-1.g3-3x2
68,18,5,4,t360.f60.g9-2x2
69,1,5,5,t502x2.r350rx2.r305r.r92l.g16-7x2
69,2,3,4,t363.r134r.f60-6.g10-5x2
69,3,1,4,t400.y154l.f88.g13-11x2
69,4,13,4,t342.f86.f30-6.g15-2x2
69,5,17,3,t145.r5-3.g3-3
69,6,7,5,t593.f379.r140l.g27-5
69,7,15,3,t177.f35-6.g7-6x2
69,8,9,4,t365.r151r.f42-6.g12-6x2
69,9,11,4,t335.r93l.s15-4.g7-9
69,10,6,4,t394.r193r.r33-3.g16-12
69,11,18,3,t149.r7-6.g4-3x2
69,12,4,5,t524.r240l.f160.g22-9x3
69,13,14,3,t184.s30-6.s20-6.r6-6.g6-6
69,14,2,5,t535.r279lx2.r178lx2.r70r.g9-3x2
69,15,8,4,t353.f118.g22-6x3
69,16,10,4,t348.f125.g35-4x3
